Code,Country,Year,Health_Spending,Life_Expectancy,GDP_per_Capita
SVN,Slovenia,2015,2579.937,80.9,31631.838376
AUS,Australia,2001,2288.632,79.6,29562.483258
ZAF,South Africa,2022,1345.252,65.5,16021.175261
ZAF,South Africa,2021,1235.726,62.0,14868.214621
AUS,Australia,1976,404.578,72.8,7396.803098
AUS,Australia,2016,5032.26,82.4,50152.476571
AUS,Australia,1997,1728.93,78.4,24478.244636
AUS,Australia,1996,1640.965,78.1,23290.949915
AUS,Australia,1995,1536.355,77.8,22444.056465
AUS,Australia,1994,1453.732,77.9,21434.245193
AUS,Australia,1993,1371.817,77.9,20184.513428
AUS,Australia,1992,1304.105,77.4,19157.087211
AUS,Australia,1991,1232.632,77.3,18176.790696
AUS,Australia,1990,1164.252,76.9,17837.282129
AUS,Australia,1989,1094.854,76.4,17834.550059
AUS,Australia,1988,1025.435,76.2,17129.426919
AUS,Australia,1987,950.267,76.2,16053.156429
AUS,Australia,2006,2996.468,81.0,37964.554442
AUS,Australia,1998,1838.212,78.6,25725.59883
AUS,Australia,1999,1956.897,78.9,27160.314973
AUS,Australia,2004,2819.899,80.5,34019.150424
AUS,Australia,2005,2872.44,80.8,35683.435996
AUS,Australia,1986,901.969,76.0,14983.633868
AUS,Australia,2000,2150.423,79.2,28333.133045
AUS,Australia,1982,702.934,74.6,11988.970545
AUS,Australia,1981,665.879,74.8,11956.559959
AUS,Australia,2011,3809.112,81.9,44460.605016
AUS,Australia,2010,3593.576,81.7,42823.927966
AUS,Australia,2009,3415.154,81.5,41684.56865
AUS,Australia,2007,3198.071,81.3,39703.469623
AUS,Australia,2003,2580.884,80.2,32409.0606
AUS,Australia,2002,2481.046,79.9,30823.40346
AUS,Australia,2023,7015.233,83.0,72952.496181
AUS,Australia,2021,6545.649,83.3,64120.473853
AUS,Australia,2022,6907.229,83.2,71753.645427
AUS,Australia,2020,5819.048,83.2,56905.500543
AUS,Australia,2014,4556.492,82.3,47648.633963
AUS,Australia,2015,4755.031,82.4,47266.591718
AUT,Austria,1971,189.25,70.3,4207.346427
AUT,Austria,1993,1849.697,76.3,21717.379256
AUT,Austria,1987,982.621,75.0,15782.307567
AUT,Austria,1989,1162.634,75.6,18113.387231
AUT,Austria,1988,1051.024,75.5,16853.653696
AUT,Austria,2004,3422.272,79.3,33785.215142
AUT,Austria,2003,3229.812,78.8,32158.613927
AUT,Austria,2002,3142.925,78.9,31178.051444
AUT,Austria,2001,2901.122,78.8,29711.568764
AUT,Austria,2000,2845.036,78.3,29379.736664
AUT,Austria,1999,2614.372,78.1,27606.484243
AUT,Austria,1998,2471.999,77.9,26674.843435
AUT,Austria,1997,2303.783,77.5,25422.022771
AUT,Austria,1996,2222.195,77.1,24552.025251
AUT,Austria,1994,2017.061,76.7,22626.701006
AUT,Austria,1970,173.371,70.1,3826.916789
AUT,Austria,1992,1706.666,76.1,21278.089842
AUT,Austria,1991,1585.598,75.9,20602.882245
AUT,Austria,2023,7697.206,81.9,73743.971309
AUT,Austria,2022,7700.251,81.4,70889.43168
AUT,Austria,2021,7464.846,81.3,63451.49024
AUT,Austria,2020,6295.183,81.3,58610.931828
AUT,Austria,2019,6016.146,82.0,60590.199652
AUT,Austria,2018,5577.829,81.8,56956.110562
AUT,Austria,2017,5380.95,81.7,54188.360666
AUT,Austria,2016,5249.61,81.8,52665.087457
AUS,Australia,2018,5208.627,82.8,53125.903609
AUS,Australia,2019,5257.676,82.9,53681.424509
AUT,Austria,1995,2138.862,76.9,23681.210282
AUT,Austria,1990,1482.114,75.8,19459.191075
AUT,Austria,1986,889.249,74.5,15204.853076
AUT,Austria,1985,828.855,74.1,14578.652066
AUT,Austria,1984,770.215,73.9,13793.717328
AUT,Austria,1983,736.29,73.3,13305.748228
AUT,Austria,1982,704.002,73.2,12414.465755
AUT,Austria,1981,659.644,73.0,11469.798114
AUT,Austria,1980,710.794,72.7,10520.259801
AUT,Austria,1979,624.559,72.6,9484.474525
AUT,Austria,1978,545.859,72.3,8298.43408
AUT,Austria,1977,486.116,72.2,7763.17368
AUT,Austria,1976,439.44,71.8,6958.359417
AUT,Austria,1975,387.022,71.4,6295.912644
AUT,Austria,1974,283.138,71.2,5767.915763
AUT,Austria,1973,237.819,71.2,5099.678891
BEL,Belgium,2011,4103.395,80.7,40943.343479
BEL,Belgium,2008,3547.018,79.8,37883.233422
BEL,Belgium,2007,3308.808,79.9,36798.512351
BEL,Belgium,1982,741.664,74.0,11989.621963
BEL,Belgium,1981,668.788,73.7,11234.298485
BEL,Belgium,2009,3805.414,80.2,37750.13747
